,Country,Date,Confirmed,Active,Deaths,Recovered
339,Brunei,3/13/20,37,37,0,0
340,Brunei,3/14/20,40,40,0,0
341,Brunei,3/15/20,50,50,0,0
342,Brunei,3/16/20,54,54,0,0
343,Brunei,3/17/20,56,56,0,0
344,Brunei,3/18/20,68,68,0,0
345,Brunei,3/19/20,75,75,0,0
346,Brunei,3/9/20,1,1,0,0
347,Bulgaria,3/10/20,4,4,0,0
348,Bulgaria,3/11/20,7,6,1,0
349,Bulgaria,3/12/20,7,6,1,0
350,Bulgaria,3/13/20,23,22,1,0
351,Bulgaria,3/14/20,41,39,2,0
352,Bulgaria,3/15/20,51,49,2,0
353,Bulgaria,3/16/20,52,50,2,0
354,Bulgaria,3/17/20,67,65,2,0
355,Bulgaria,3/18/20,92,90,2,0
356,Bulgaria,3/19/20,94,91,3,0
357,Bulgaria,3/8/20,4,4,0,0
358,Bulgaria,3/9/20,4,4,0,0
359,Burkina Faso,3/10/20,1,1,0,0
360,Burkina Faso,3/11/20,2,2,0,0
361,Burkina Faso,3/12/20,2,2,0,0
362,Burkina Faso,3/13/20,2,2,0,0
363,Burkina Faso,3/14/20,2,2,0,0
364,Burkina Faso,3/15/20,3,3,0,0
365,Burkina Faso,3/16/20,15,15,0,0
366,Burkina Faso,3/17/20,15,15,0,0
367,Burkina Faso,3/18/20,20,19,1,0
368,Burkina Faso,3/19/20,33,32,1,0
369,Cambodia,1/27/20,1,1,0,0
370,Cambodia,1/28/20,1,1,0,0
371,Cambodia,1/29/20,1,1,0,0
372,Cambodia,1/30/20,1,1,0,0
373,Cambodia,1/31/20,1,1,0,0
374,Cambodia,2/1/20,1,1,0,0
375,Cambodia,2/10/20,1,1,0,0
376,Cambodia,2/11/20,1,1,0,0
377,Cambodia,2/12/20,1,0,0,1
378,Cambodia,2/13/20,1,0,0,1
379,Cambodia,2/14/20,1,0,0,1
380,Cambodia,2/15/20,1,0,0,1
381,Cambodia,2/16/20,1,0,0,1
382,Cambodia,2/17/20,1,0,0,1
383,Cambodia,2/18/20,1,0,0,1
384,Cambodia,2/19/20,1,0,0,1
385,Cambodia,2/2/20,1,1,0,0
386,Cambodia,2/20/20,1,0,0,1
387,Cambodia,2/21/20,1,0,0,1
388,Cambodia,2/22/20,1,0,0,1
389,Cambodia,2/23/20,1,0,0,1
390,Cambodia,2/24/20,1,0,0,1
391,Cambodia,2/25/20,1,0,0,1
392,Cambodia,2/26/20,1,0,0,1
393,Cambodia,2/27/20,1,0,0,1
394,Cambodia,2/28/20,1,0,0,1
395,Cambodia,2/29/20,1,0,0,1
396,Cambodia,2/3/20,1,1,0,0
